"prolific_ID","party","pol_affil","age","gender","ethnicity","treatment","stance","condition","aligned","vax_1","vax_2","vax_3","vax_4","elec_1","elec_2","elec_3","elec_4","dep_1","dep_2","dep_3","dep_4","dv_response_mean_vax","dv_response_mean_elec","dv_response_mean_dep","vax_partisanship","elec_partisanship","dep_partisanship","authorship","sex","party_binary"
"5ef4d8b87faaa00c0dea0c4e","dem","Democrat",58,"Female","Caucasian/White","dem","against","dem_against",1,100,100,100,100,0,0,0,0,0,0,0,0,100,0,0,"Moderate Democrat","Strong Democrat","Strong Democrat","Policy Expert",1,0
"63b6d3e17fd3063a57be2512","dem","Democrat",36,"Female","Caucasian/White","dem","against","dem_against",1,23,18,8,13,30,31,0,30,33,32,48,39,15.5,22.75,38,"Moderate Republican","Moderate Democrat","Strong Democrat","Activist",1,0
"6313bb3b3d3981dc7402a033","dem","Democrat",24,"Female","Caucasian/White","dem","for","dem_for",1,100,95,100,100,50,50,50,50,6,26,51,0,98.75,50,20.75,"Strong Democrat","Strong Democrat","Strong Democrat","Journalist",1,0
"64721e56f09a8b4d65736b13","dem","Democrat",55,"Male","African American/Black","dem","for","dem_for",1,100,100,100,100,10,10,10,10,20,6,20,20,100,10,16.5,"Strong Democrat","Moderate Democrat","Strong Republican","Policy Expert",0,0
"5d50feca50bdcf0001e8d38a","dem","Democrat",28,"Female","Caucasian/White","dem","against","dem_against",1,80,100,60,70,40,85,0,30,0,20,0,0,77.5,38.75,5,"Strong Democrat","Strong Democrat","Moderate Democrat","Policy Expert",1,0
"615bb35e52d50aa9a2ae6747","dem","Democrat",45,"Female","Caucasian/White","dem","for","dem_for",1,50,50,50,13,12,50,3,50,76,98,50,76,40.75,28.75,75,"Moderate Republican","Moderate Republican","Moderate Republican","Journalist",1,0
"6505b517546056f92dcb5427","dem","Democrat",27,"Female","Asian or Pacific Islander","dem","against","dem_against",1,90,91,86,92,0,75,0,0,20,51,30,30,89.75,18.75,32.75,"Independent / non-partisan / politically neutral","Moderate Democrat","Strong Democrat","Politician",1,0
"645c11d642f5e89a976999ac","dem","Democrat",64,"Male","Caucasian/White","dem","for","dem_for",1,100,100,100,100,25,25,25,25,0,25,0,0,100,25,6.25,"Strong Democrat","Strong Democrat","Strong Republican","AI language model",0,0
"5c3d376ec2d0b700017c7c50","dem","Democrat",27,"Male","Hispanic or Latino","dem","against","dem_against",1,80,80,75,75,10,40,0,25,40,60,30,40,77.5,18.75,42.5,"Moderate Republican","Strong Democrat","Moderate Democrat","Activist",0,0
"648343299ec8050d10aee27d","dem","Democrat",52,"Female","Caucasian/White","dem","for","dem_for",1,100,100,100,100,75,62,70,10,9,25,39,6,100,54.25,19.75,"Strong Democrat","Other (Libertarian, Green Party, etc.)","Strong Republican","Activist",1,0
"5baff18baf6e8c000116be28","dem","Democrat",49,"Female","Caucasian/White","dem","for","dem_for",1,75,75,90,75,35,35,10,10,80,80,60,60,78.75,22.5,70,"Moderate Democrat","Strong Democrat","Strong Republican","Journalist",1,0
"627a65a2439f59544115d476","dem","Democrat",28,"Female","Caucasian/White","dem","against","dem_against",1,76,85,74,72,52,34,63,14,59,62,58,42,76.75,40.75,55.25,"Moderate Democrat","Strong Democrat","Independent / non-partisan / politically neutral","Politician",1,0
"632e9aa62793c18a857aece4","dem","Democrat",41,"Male","Caucasian/White","dem","against","dem_against",1,100,100,90,100,0,20,0,2,20,50,60,50,97.5,5.5,45,"Strong Democrat","Strong Republican","Moderate Democrat","AI language model",0,0
"581649f0b434f0000184d2a9","dem","Democrat",30,"Female","Caucasian/White","dem","for","dem_for",1,100,100,100,100,50,57,43,50,95,88,61,95,100,50,84.75,"Moderate Democrat","Moderate Democrat","Independent / non-partisan / politically neutral","Activist",1,0
"63e9b9aff82ab9e7e1a9f7dd","dem","Democrat",54,"Male","Caucasian/White","dem","for","dem_for",1,95,4,95,100,22,22,40,22,80,80,60,70,73.5,26.5,72.5,"Strong Democrat","Moderate Democrat","Strong Republican","Activist",0,0
"5934a676e7866d0001618b81","dem","Democrat",65,"Female","Caucasian/White","dem","against","dem_against",1,10,30,80,10,0,0,0,0,39,50,50,50,32.5,0,47.25,"Moderate Republican","Moderate Democrat","Strong Democrat","Student",1,0
"5b4370f330bbfd000105f991","dem","Democrat",57,"Male","Caucasian/White","dem","for","dem_for",1,96,100,95,96,21,16,9,13,5,6,6,2,96.75,14.75,4.75,"Independent / non-partisan / politically neutral","Moderate Democrat","Strong Republican","Activist",0,0
