"prolific_ID","party","pol_affil","age","gender","ethnicity","treatment","stance","condition","aligned","vax_1","vax_2","vax_3","vax_4","elec_1","elec_2","elec_3","elec_4","dep_1","dep_2","dep_3","dep_4","dv_response_mean_vax","dv_response_mean_elec","dv_response_mean_dep","vax_partisanship","elec_partisanship","dep_partisanship","authorship","sex","party_binary"
"5a6b53f3e70ca900017ab75a","repub","Republican",76,"Female","Caucasian/White","repub","against","repub_against",1,0,0,0,0,82,71,82,70,61,100,69,71,0,76.25,75.25,"Independent / non-partisan / politically neutral","Strong Democrat","Moderate Republican","AI language model",1,1
"616c4f1eacaf6dcc36160230","repub","Republican",50,"Male","Hispanic or Latino","repub","for","repub_for",1,66,2,44,10,24,25,65,24,81,82,67,88,30.5,34.5,79.5,"Strong Democrat","Moderate Republican","Strong Republican","Activist",0,1
"64018f4d1a16dfe2b0f7c552","repub","Republican",35,"Female","African American/Black","repub","for","repub_for",1,0,100,0,0,80,85,49,80,100,100,100,100,25,73.5,100,"Moderate Republican","Strong Republican","Strong Republican","Journalist",1,1
"5f0632802b566a17e81a5f5f","repub","Republican",54,"Female","Caucasian/White","repub","against","repub_against",1,0,0,0,0,91,87,15,92,69,74,14,84,0,71.25,60.25,"Strong Democrat","Strong Democrat","Strong Democrat","Politician",1,1
"5fd66ce8aec66457ff73d743","repub","Republican",57,"Female","Caucasian/White","repub","for","repub_for",1,50,0,0,0,70,70,0,100,100,100,100,100,12.5,60,100,"Strong Democrat","Other (Libertarian, Green Party, etc.)","Strong Republican","Student",1,1
"5d89106d1719af0001ee23e5","repub","Republican",51,"Female","Caucasian/White","repub","for","repub_for",1,0,0,0,100,49,50,49,50,100,100,100,100,25,49.5,100,"Strong Democrat","Independent / non-partisan / politically neutral","Strong Republican","AI language model",1,1
"5de5538f8fde1c4dbc951498","repub","Republican",63,"Female","Caucasian/White","repub","against","repub_against",1,0,0,1,0,9,10,20,20,100,100,100,100,0.25,14.75,100,"Strong Republican","Independent / non-partisan / politically neutral","Strong Democrat","Journalist",1,1
"5fdac85f90a6137a11b4a415","repub","Republican",35,"Female","Caucasian/White","repub","against","repub_against",1,0,4,0,0,50,50,50,50,12,28,50,62,1,50,38,"Moderate Republican","Strong Democrat","Moderate Democrat","Activist",1,1
"5dbbfa90c486791b1bd03292","repub","Republican",23,"Male","Caucasian/White","repub","for","repub_for",1,90,84,50,74,62,59,68,73,68,75,70,69,74.5,65.5,70.5,"Strong Republican","Strong Republican","Moderate Republican","AI language model",0,1
"60e4c09a4b30f16f5a1053e7","repub","Republican",66,"Female","Caucasian/White","repub","against","repub_against",1,50,9,23,29,100,97,42,100,90,100,100,100,27.75,84.75,97.5,"Moderate Republican","Strong Democrat","Moderate Democrat","AI language model",1,1
"5de5496937e1d50ca63e0fa5","repub","Republican",72,"Female","Caucasian/White","repub","against","repub_against",1,71,40,50,50,61,50,60,61,49,50,50,50,52.75,58,49.75,"Strong Democrat","Strong Democrat","Moderate Republican","AI language model",1,1
"6460181fc3a15babdad7bf3e","repub","Republican",53,"Female","Caucasian/White","repub","against","repub_against",1,9,10,26,5,6,6,8,7,44,46,58,56,12.5,6.75,51,"Moderate Republican","Independent / non-partisan / politically neutral","Moderate Republican","Journalist",1,1
