"prolific_ID","party","pol_affil","age","gender","ethnicity","treatment","stance","condition","aligned","vax_1","vax_2","vax_3","vax_4","elec_1","elec_2","elec_3","elec_4","dep_1","dep_2","dep_3","dep_4","dv_response_mean_vax","dv_response_mean_elec","dv_response_mean_dep","vax_partisanship","elec_partisanship","dep_partisanship","authorship"
"5dbc46b70338051eb7999760","dem","Democrat",46,"Female","Caucasian/White","repub","for","repub_for",0,93,86,82,71,10,6,10,0,0,0,0,0,83,6.5,0,"Moderate Democrat","Strong Republican","Strong Republican","Politician"
"61110f26433bbfad36444c62","dem","Democrat",46,"Female","Caucasian/White","no role-play","for","no role-play_for",0,100,100,100,100,0,0,0,0,20,15,25,13,100,0,18.25,"Strong Democrat","Moderate Democrat","Strong Republican","Politician"
"60fcbe2b7b4649ea3cec1ab3","dem","Democrat",23,"Female","Caucasian/White","no role-play","against","no role-play_against",0,25,20,60,15,80,80,50,60,15,15,15,15,30,67.5,15,"Moderate Republican","Moderate Democrat","Moderate Democrat","AI language model"
"58578946c41fd90001434680","dem","Democrat",68,"Male","Caucasian/White","repub","for","repub_for",0,92,71,87,94,40,29,9,38,78,80,56,67,86,29,70.25,"Moderate Democrat","Strong Democrat","Moderate Republican","AI language model"
"5ef4d8b87faaa00c0dea0c4e","dem","Democrat",58,"Female","Caucasian/White","dem","against","dem_against",1,100,100,100,100,0,0,0,0,0,0,0,0,100,0,0,"Moderate Democrat","Strong Democrat","Strong Democrat","Policy Expert"
"5a9b1eb7873cda0001dcb3c4","dem","Democrat",73,"Female","Caucasian/White","repub","against","repub_against",0,40,68,90,61,0,3,0,0,15,20,7,12,64.75,0.75,13.5,"Independent / non-partisan / politically neutral","Independent / non-partisan / politically neutral","Moderate Democrat","AI language model"
"56213a1aed6e5a0005c7f760","dem","Democrat",39,"Male","Caucasian/White","no role-play","for","no role-play_for",0,55,65,60,53,48,48,18,48,45,49,46,48,58.25,40.5,47,"Moderate Democrat","Moderate Democrat","Moderate Republican","Journalist"
"63d1458687bb808c5929e352","dem","Democrat",26,"Male","Asian or Pacific Islander","repub","against","repub_against",0,86,93,88,91,20,24,16,20,18,21,33,15,89.5,20,21.75,"Strong Republican","Strong Republican","Strong Republican","Politician"
"63b6d3e17fd3063a57be2512","dem","Democrat",36,"Female","Caucasian/White","dem","against","dem_against",1,23,18,8,13,30,31,0,30,33,32,48,39,15.5,22.75,38,"Moderate Republican","Moderate Democrat","Strong Democrat","Activist"
"6313bb3b3d3981dc7402a033","dem","Democrat",24,"Female","Caucasian/White","dem","for","dem_for",1,100,95,100,100,50,50,50,50,6,26,51,0,98.75,50,20.75,"Strong Democrat","Strong Democrat","Strong Democrat","Journalist"
"5ef764821269f404a08607d7","dem","Democrat",71,"Male","Caucasian/White","repub","for","repub_for",0,100,100,100,100,3,7,0,0,61,51,39,39,100,2.5,47.5,"Strong Democrat","Strong Republican","Strong Democrat","AI language model"
"64721e56f09a8b4d65736b13","dem","Democrat",55,"Male","African American/Black","dem","for","dem_for",1,100,100,100,100,10,10,10,10,20,6,20,20,100,10,16.5,"Strong Democrat","Moderate Democrat","Strong Republican","Policy Expert"
"582afed4ce3a0e00010b3245","dem","Democrat",71,"Female","Caucasian/White","no role-play","for","no role-play_for",0,98,100,100,100,69,53,45,58,77,73,67,65,99.5,56.25,70.5,"Independent / non-partisan / politically neutral","Moderate Democrat","Strong Republican","Activist"
"5d4b14caed2dfc0001a22c1a","dem","Democrat",40,"Female","Caucasian/White","no role-play","against","no role-play_against",0,70,70,75,75,0,0,0,0,10,10,5,5,72.5,0,7.5,"Independent / non-partisan / politically neutral","Independent / non-partisan / politically neutral","Strong Democrat","Student"
"613b9a3ff0c8f9557a11b295","dem","Democrat",20,"Female","Other","repub","for","repub_for",0,55,43,79,40,24,16,7,12,35,41,42,39,54.25,14.75,39.25,"Strong Democrat","Moderate Democrat","Strong Republican","Politician"
"6441356d5337fd4714939734","dem","Democrat",45,"Male","Caucasian/White","no role-play","for","no role-play_for",0,100,71,87,100,6,7,26,4,71,76,52,65,89.5,10.75,66,"Strong Democrat","Independent / non-partisan / politically neutral","Strong Republican","AI language model"
"5d50feca50bdcf0001e8d38a","dem","Democrat",28,"Female","Caucasian/White","dem","against","dem_against",1,80,100,60,70,40,85,0,30,0,20,0,0,77.5,38.75,5,"Strong Democrat","Strong Democrat","Moderate Democrat","Policy Expert"
"615bb35e52d50aa9a2ae6747","dem","Democrat",45,"Female","Caucasian/White","dem","for","dem_for",1,50,50,50,13,12,50,3,50,76,98,50,76,40.75,28.75,75,"Moderate Republican","Moderate Republican","Moderate Republican","Journalist"
"5c535974b7cf140001d308d3","dem","Democrat",30,"Female","Caucasian/White","repub","against","repub_against",0,89,92,90,93,5,12,5,0,0,8,8,15,91,5.5,7.75,"Independent / non-partisan / politically neutral","Moderate Democrat","Moderate Democrat","Policy Expert"
"64f9db6943940e98c173b596","dem","Democrat",51,"Female","Caucasian/White","no role-play","against","no role-play_against",0,100,100,100,100,0,15,0,0,9,10,0,9,100,3.75,7,"Moderate Republican","Strong Democrat","Independent / non-partisan / politically neutral","Policy Expert"
"6505b517546056f92dcb5427","dem","Democrat",27,"Female","Asian or Pacific Islander","dem","against","dem_against",1,90,91,86,92,0,75,0,0,20,51,30,30,89.75,18.75,32.75,"Independent / non-partisan / politically neutral","Moderate Democrat","Strong Democrat","Politician"
"610971ac8159690397a047c5","dem","Democrat",31,"Female","Caucasian/White","no role-play","for","no role-play_for",0,90,70,100,95,5,5,0,5,0,0,5,0,88.75,3.75,1.25,"Strong Democrat","Independent / non-partisan / politically neutral","Strong Republican","AI language model"
"5ee3c01c7247c006e9a3f4fd","dem","Democrat",58,"Female","Caucasian/White","repub","against","repub_against",0,70,80,70,80,0,0,0,0,10,50,40,47,75,0,36.75,"Independent / non-partisan / politically neutral","Moderate Democrat","Strong Democrat","Politician"
"60fd85c4c161e02f562b543a","dem","Democrat",53,"Female","Caucasian/White","repub","for","repub_for",0,75,77,77,77,50,50,50,50,27,50,39,25,76.5,50,35.25,"Strong Democrat","Independent / non-partisan / politically neutral","Moderate Republican","AI language model"
"6034badeb512f97ce3682dc7","dem","Democrat",48,"Male","Caucasian/White","no role-play","against","no role-play_against",0,100,100,100,100,0,0,0,0,0,10,0,0,100,0,2.5,"Other (Libertarian, Green Party, etc.)","Independent / non-partisan / politically neutral","Strong Democrat","AI language model"
"614f7e19d4577addcf8739d4","dem","Democrat",57,"Male","Asian or Pacific Islander","repub","for","repub_for",0,95,95,97,98,20,20,10,5,70,70,70,80,96.25,13.75,72.5,"Moderate Republican","Moderate Democrat","Strong Republican","AI language model"
"645c11d642f5e89a976999ac","dem","Democrat",64,"Male","Caucasian/White","dem","for","dem_for",1,100,100,100,100,25,25,25,25,0,25,0,0,100,25,6.25,"Strong Democrat","Strong Democrat","Strong Republican","AI language model"
"5eb0bbbc0be27c183500b45d","dem","Democrat",22,"Or do you describe yourself in another way (write in gender identity)","Caucasian/White","repub","against","repub_against",0,100,100,100,100,50,50,0,50,0,0,0,0,100,37.5,0,"Independent / non-partisan / politically neutral","Moderate Democrat","Moderate Republican","Professor"
"5d8998025e8a740001d6e2f1","dem","Democrat",51,"Male","Caucasian/White","no role-play","against","no role-play_against",0,47,46,70,53,0,1,3,0,10,85,52,52,54,1,49.75,"Moderate Republican","Moderate Democrat","Moderate Democrat","AI language model"
"5c3d376ec2d0b700017c7c50","dem","Democrat",27,"Male","Hispanic or Latino","dem","against","dem_against",1,80,80,75,75,10,40,0,25,40,60,30,40,77.5,18.75,42.5,"Moderate Republican","Strong Democrat","Moderate Democrat","Activist"
"63213cae8cfeef4aa57d329f","dem","Democrat",51,"Male","Caucasian/White","no role-play","for","no role-play_for",0,100,100,100,100,13,100,0,35,67,93,48,61,100,37,67.25,"Moderate Democrat","Moderate Democrat","Moderate Republican","AI language model"
"648343299ec8050d10aee27d","dem","Democrat",52,"Female","Caucasian/White","dem","for","dem_for",1,100,100,100,100,75,62,70,10,9,25,39,6,100,54.25,19.75,"Strong Democrat","Other (Libertarian, Green Party, etc.)","Strong Republican","Activist"
"5baff18baf6e8c000116be28","dem","Democrat",49,"Female","Caucasian/White","dem","for","dem_for",1,75,75,90,75,35,35,10,10,80,80,60,60,78.75,22.5,70,"Moderate Democrat","Strong Democrat","Strong Republican","Journalist"
"61034787a79b4a6432034e1e","dem","Democrat",35,"Female","Caucasian/White","repub","against","repub_against",0,84,67,64,69,0,64,0,0,0,0,0,0,71,16,0,"Moderate Republican","Moderate Democrat","Strong Democrat","Policy Expert"
"6413634f9d315afcde51553b","dem","Democrat",68,"Male","Caucasian/White","repub","for","repub_for",0,100,100,100,100,45,67,50,45,40,40,45,48,100,51.75,43.25,"Moderate Democrat","Moderate Democrat","Moderate Republican","AI language model"
"6335d5ca73f2a684d5d10e57","dem","Democrat",38,"Male","Caucasian/White","no role-play","against","no role-play_against",0,100,100,100,100,0,20,0,0,79,77,67,85,100,5,77,"Independent / non-partisan / politically neutral","Strong Republican","Independent / non-partisan / politically neutral","Journalist"
"5755a4c33c680b00095db408","dem","Democrat",40,"Male","Asian or Pacific Islander","repub","against","repub_against",0,100,100,100,100,10,10,0,0,30,80,50,50,100,5,52.5,"Strong Republican","Independent / non-partisan / politically neutral","Moderate Democrat","Student"
"63d7ec164d40c184be89bf34","dem","Democrat",32,"Female","Caucasian/White","no role-play","for","no role-play_for",0,80,85,100,90,50,50,0,18,15,24,0,15,88.75,29.5,13.5,"Strong Democrat","Moderate Republican","Moderate Republican","Activist"
"627a65a2439f59544115d476","dem","Democrat",28,"Female","Caucasian/White","dem","against","dem_against",1,76,85,74,72,52,34,63,14,59,62,58,42,76.75,40.75,55.25,"Moderate Democrat","Strong Democrat","Independent / non-partisan / politically neutral","Politician"
"632e9aa62793c18a857aece4","dem","Democrat",41,"Male","Caucasian/White","dem","against","dem_against",1,100,100,90,100,0,20,0,2,20,50,60,50,97.5,5.5,45,"Strong Democrat","Strong Republican","Moderate Democrat","AI language model"
"59b2d1e1773f41000148789e","dem","Democrat",38,"Female","Caucasian/White","repub","against","repub_against",0,62,19,29,45,26,54,0,36,20,20,20,86,38.75,29,36.5,"Other (Libertarian, Green Party, etc.)","Independent / non-partisan / politically neutral","Independent / non-partisan / politically neutral","AI language model"
"581649f0b434f0000184d2a9","dem","Democrat",30,"Female","Caucasian/White","dem","for","dem_for",1,100,100,100,100,50,57,43,50,95,88,61,95,100,50,84.75,"Moderate Democrat","Moderate Democrat","Independent / non-partisan / politically neutral","Activist"
"60e5e4a8f7dedf082efd5af9","dem","Democrat",56,"Female","Caucasian/White","no role-play","for","no role-play_for",0,100,100,91,100,61,40,10,39,0,0,0,0,97.75,37.5,0,"Moderate Democrat","Strong Democrat","Strong Republican","Student"
"63e9b9aff82ab9e7e1a9f7dd","dem","Democrat",54,"Male","Caucasian/White","dem","for","dem_for",1,95,4,95,100,22,22,40,22,80,80,60,70,73.5,26.5,72.5,"Strong Democrat","Moderate Democrat","Strong Republican","Activist"
"5f4d07b4fae27694de8f5af1","dem","Democrat",56,"Female","Caucasian/White","repub","against","repub_against",0,20,20,20,16,8,5,1,0,10,15,10,10,19,3.5,11.25,"Strong Republican","Independent / non-partisan / politically neutral","Moderate Democrat","Journalist"
"5934a676e7866d0001618b81","dem","Democrat",65,"Female","Caucasian/White","dem","against","dem_against",1,10,30,80,10,0,0,0,0,39,50,50,50,32.5,0,47.25,"Moderate Republican","Moderate Democrat","Strong Democrat","Student"
"5e0e1b8800a6bf000a694f79","dem","Democrat",30,"Female","Caucasian/White","repub","for","repub_for",0,81,81,100,82,50,50,51,50,13,9,12,12,86,50.25,11.5,"Independent / non-partisan / politically neutral","Independent / non-partisan / politically neutral","Moderate Republican","Student"
"5a454e442f91ec0001dcb66c","dem","Democrat",51,"Female","Caucasian/White","repub","for","repub_for",0,63,59,75,57,10,10,15,7,76,92,58,58,63.5,10.5,71,"Independent / non-partisan / politically neutral","Moderate Democrat","Moderate Republican","AI language model"
"628b9c24551f4f5d45546d4c","dem","Democrat",35,"Male","Caucasian/White","no role-play","for","no role-play_for",0,75,79,73,71,40,32,31,34,35,24,25,25,74.5,34.25,27.25,"Strong Democrat","Moderate Democrat","Strong Republican","Student"
"6400d98030c52020eabfd538","dem","Democrat",47,"Female","Caucasian/White","no role-play","against","no role-play_against",0,71,74,38,57,2,0,3,3,5,13,4,5,60,2,6.75,"Moderate Republican","Moderate Democrat","Strong Democrat","Professor"
