"prolific_ID","party","pol_affil","age","gender","ethnicity","treatment","stance","condition","aligned","vax_1","vax_2","vax_3","vax_4","elec_1","elec_2","elec_3","elec_4","dep_1","dep_2","dep_3","dep_4","dv_response_mean_vax","dv_response_mean_elec","dv_response_mean_dep","vax_partisanship","elec_partisanship","dep_partisanship","authorship","sex","party_binary"
"5dbc46b70338051eb7999760","dem","Democrat",46,"Female","Caucasian/White","repub","for","repub_for",0,93,86,82,71,10,6,10,0,0,0,0,0,83,6.5,0,"Moderate Democrat","Strong Republican","Strong Republican","Politician",1,0
"58578946c41fd90001434680","dem","Democrat",68,"Male","Caucasian/White","repub","for","repub_for",0,92,71,87,94,40,29,9,38,78,80,56,67,86,29,70.25,"Moderate Democrat","Strong Democrat","Moderate Republican","AI language model",0,0
"5ef4d8b87faaa00c0dea0c4e","dem","Democrat",58,"Female","Caucasian/White","dem","against","dem_against",1,100,100,100,100,0,0,0,0,0,0,0,0,100,0,0,"Moderate Democrat","Strong Democrat","Strong Democrat","Policy Expert",1,0
"5a9b1eb7873cda0001dcb3c4","dem","Democrat",73,"Female","Caucasian/White","repub","against","repub_against",0,40,68,90,61,0,3,0,0,15,20,7,12,64.75,0.75,13.5,"Independent / non-partisan / politically neutral","Independent / non-partisan / politically neutral","Moderate Democrat","AI language model",1,0
"63d1458687bb808c5929e352","dem","Democrat",26,"Male","Asian or Pacific Islander","repub","against","repub_against",0,86,93,88,91,20,24,16,20,18,21,33,15,89.5,20,21.75,"Strong Republican","Strong Republican","Strong Republican","Politician",0,0
"63b6d3e17fd3063a57be2512","dem","Democrat",36,"Female","Caucasian/White","dem","against","dem_against",1,23,18,8,13,30,31,0,30,33,32,48,39,15.5,22.75,38,"Moderate Republican","Moderate Democrat","Strong Democrat","Activist",1,0
"6313bb3b3d3981dc7402a033","dem","Democrat",24,"Female","Caucasian/White","dem","for","dem_for",1,100,95,100,100,50,50,50,50,6,26,51,0,98.75,50,20.75,"Strong Democrat","Strong Democrat","Strong Democrat","Journalist",1,0
"5ef764821269f404a08607d7","dem","Democrat",71,"Male","Caucasian/White","repub","for","repub_for",0,100,100,100,100,3,7,0,0,61,51,39,39,100,2.5,47.5,"Strong Democrat","Strong Republican","Strong Democrat","AI language model",0,0
"64721e56f09a8b4d65736b13","dem","Democrat",55,"Male","African American/Black","dem","for","dem_for",1,100,100,100,100,10,10,10,10,20,6,20,20,100,10,16.5,"Strong Democrat","Moderate Democrat","Strong Republican","Policy Expert",0,0
"613b9a3ff0c8f9557a11b295","dem","Democrat",20,"Female","Other","repub","for","repub_for",0,55,43,79,40,24,16,7,12,35,41,42,39,54.25,14.75,39.25,"Strong Democrat","Moderate Democrat","Strong Republican","Politician",1,0
"5d50feca50bdcf0001e8d38a","dem","Democrat",28,"Female","Caucasian/White","dem","against","dem_against",1,80,100,60,70,40,85,0,30,0,20,0,0,77.5,38.75,5,"Strong Democrat","Strong Democrat","Moderate Democrat","Policy Expert",1,0
"615bb35e52d50aa9a2ae6747","dem","Democrat",45,"Female","Caucasian/White","dem","for","dem_for",1,50,50,50,13,12,50,3,50,76,98,50,76,40.75,28.75,75,"Moderate Republican","Moderate Republican","Moderate Republican","Journalist",1,0
"5c535974b7cf140001d308d3","dem","Democrat",30,"Female","Caucasian/White","repub","against","repub_against",0,89,92,90,93,5,12,5,0,0,8,8,15,91,5.5,7.75,"Independent / non-partisan / politically neutral","Moderate Democrat","Moderate Democrat","Policy Expert",1,0
"6505b517546056f92dcb5427","dem","Democrat",27,"Female","Asian or Pacific Islander","dem","against","dem_against",1,90,91,86,92,0,75,0,0,20,51,30,30,89.75,18.75,32.75,"Independent / non-partisan / politically neutral","Moderate Democrat","Strong Democrat","Politician",1,0
"5ee3c01c7247c006e9a3f4fd","dem","Democrat",58,"Female","Caucasian/White","repub","against","repub_against",0,70,80,70,80,0,0,0,0,10,50,40,47,75,0,36.75,"Independent / non-partisan / politically neutral","Moderate Democrat","Strong Democrat","Politician",1,0
"60fd85c4c161e02f562b543a","dem","Democrat",53,"Female","Caucasian/White","repub","for","repub_for",0,75,77,77,77,50,50,50,50,27,50,39,25,76.5,50,35.25,"Strong Democrat","Independent / non-partisan / politically neutral","Moderate Republican","AI language model",1,0
"614f7e19d4577addcf8739d4","dem","Democrat",57,"Male","Asian or Pacific Islander","repub","for","repub_for",0,95,95,97,98,20,20,10,5,70,70,70,80,96.25,13.75,72.5,"Moderate Republican","Moderate Democrat","Strong Republican","AI language model",0,0
"645c11d642f5e89a976999ac","dem","Democrat",64,"Male","Caucasian/White","dem","for","dem_for",1,100,100,100,100,25,25,25,25,0,25,0,0,100,25,6.25,"Strong Democrat","Strong Democrat","Strong Republican","AI language model",0,0
"5eb0bbbc0be27c183500b45d","dem","Democrat",22,"Or do you describe yourself in another way (write in gender identity)","Caucasian/White","repub","against","repub_against",0,100,100,100,100,50,50,0,50,0,0,0,0,100,37.5,0,"Independent / non-partisan / politically neutral","Moderate Democrat","Moderate Republican","Professor",3,0
"5c3d376ec2d0b700017c7c50","dem","Democrat",27,"Male","Hispanic or Latino","dem","against","dem_against",1,80,80,75,75,10,40,0,25,40,60,30,40,77.5,18.75,42.5,"Moderate Republican","Strong Democrat","Moderate Democrat","Activist",0,0
"648343299ec8050d10aee27d","dem","Democrat",52,"Female","Caucasian/White","dem","for","dem_for",1,100,100,100,100,75,62,70,10,9,25,39,6,100,54.25,19.75,"Strong Democrat","Other (Libertarian, Green Party, etc.)","Strong Republican","Activist",1,0
"5baff18baf6e8c000116be28","dem","Democrat",49,"Female","Caucasian/White","dem","for","dem_for",1,75,75,90,75,35,35,10,10,80,80,60,60,78.75,22.5,70,"Moderate Democrat","Strong Democrat","Strong Republican","Journalist",1,0
"61034787a79b4a6432034e1e","dem","Democrat",35,"Female","Caucasian/White","repub","against","repub_against",0,84,67,64,69,0,64,0,0,0,0,0,0,71,16,0,"Moderate Republican","Moderate Democrat","Strong Democrat","Policy Expert",1,0
"6413634f9d315afcde51553b","dem","Democrat",68,"Male","Caucasian/White","repub","for","repub_for",0,100,100,100,100,45,67,50,45,40,40,45,48,100,51.75,43.25,"Moderate Democrat","Moderate Democrat","Moderate Republican","AI language model",0,0
"5755a4c33c680b00095db408","dem","Democrat",40,"Male","Asian or Pacific Islander","repub","against","repub_against",0,100,100,100,100,10,10,0,0,30,80,50,50,100,5,52.5,"Strong Republican","Independent / non-partisan / politically neutral","Moderate Democrat","Student",0,0
"627a65a2439f59544115d476","dem","Democrat",28,"Female","Caucasian/White","dem","against","dem_against",1,76,85,74,72,52,34,63,14,59,62,58,42,76.75,40.75,55.25,"Moderate Democrat","Strong Democrat","Independent / non-partisan / politically neutral","Politician",1,0
"632e9aa62793c18a857aece4","dem","Democrat",41,"Male","Caucasian/White","dem","against","dem_against",1,100,100,90,100,0,20,0,2,20,50,60,50,97.5,5.5,45,"Strong Democrat","Strong Republican","Moderate Democrat","AI language model",0,0
"59b2d1e1773f41000148789e","dem","Democrat",38,"Female","Caucasian/White","repub","against","repub_against",0,62,19,29,45,26,54,0,36,20,20,20,86,38.75,29,36.5,"Other (Libertarian, Green Party, etc.)","Independent / non-partisan / politically neutral","Independent / non-partisan / politically neutral","AI language model",1,0
"581649f0b434f0000184d2a9","dem","Democrat",30,"Female","Caucasian/White","dem","for","dem_for",1,100,100,100,100,50,57,43,50,95,88,61,95,100,50,84.75,"Moderate Democrat","Moderate Democrat","Independent / non-partisan / politically neutral","Activist",1,0
"63e9b9aff82ab9e7e1a9f7dd","dem","Democrat",54,"Male","Caucasian/White","dem","for","dem_for",1,95,4,95,100,22,22,40,22,80,80,60,70,73.5,26.5,72.5,"Strong Democrat","Moderate Democrat","Strong Republican","Activist",0,0
"5f4d07b4fae27694de8f5af1","dem","Democrat",56,"Female","Caucasian/White","repub","against","repub_against",0,20,20,20,16,8,5,1,0,10,15,10,10,19,3.5,11.25,"Strong Republican","Independent / non-partisan / politically neutral","Moderate Democrat","Journalist",1,0
"5934a676e7866d0001618b81","dem","Democrat",65,"Female","Caucasian/White","dem","against","dem_against",1,10,30,80,10,0,0,0,0,39,50,50,50,32.5,0,47.25,"Moderate Republican","Moderate Democrat","Strong Democrat","Student",1,0
"5e0e1b8800a6bf000a694f79","dem","Democrat",30,"Female","Caucasian/White","repub","for","repub_for",0,81,81,100,82,50,50,51,50,13,9,12,12,86,50.25,11.5,"Independent / non-partisan / politically neutral","Independent / non-partisan / politically neutral","Moderate Republican","Student",1,0
"5a454e442f91ec0001dcb66c","dem","Democrat",51,"Female","Caucasian/White","repub","for","repub_for",0,63,59,75,57,10,10,15,7,76,92,58,58,63.5,10.5,71,"Independent / non-partisan / politically neutral","Moderate Democrat","Moderate Republican","AI language model",1,0
"5b4370f330bbfd000105f991","dem","Democrat",57,"Male","Caucasian/White","dem","for","dem_for",1,96,100,95,96,21,16,9,13,5,6,6,2,96.75,14.75,4.75,"Independent / non-partisan / politically neutral","Moderate Democrat","Strong Republican","Activist",0,0
"63e53d570132a56f38a678ee","dem","Democrat",46,"Male","Caucasian/White","repub","for","repub_for",0,100,100,100,100,66,57,18,20,0,0,0,0,100,40.25,0,"Strong Democrat","Moderate Republican","Strong Republican","Activist",0,0
"6102ced1a983f0479d576146","dem","Democrat",31,"Female","Caucasian/White","dem","against","dem_against",1,100,100,76,100,1,18,0,2,3,7,0,5,94,5.25,3.75,"Moderate Republican","Moderate Democrat","Independent / non-partisan / politically neutral","Activist",1,0
"58ac91c38bf22a00015b91b3","dem","Democrat",56,"Male","Caucasian/White","dem","for","dem_for",1,100,100,100,100,9,40,4,7,60,63,31,40,100,15,48.5,"Strong Democrat","Strong Democrat","Moderate Republican","Politician",0,0
"613e8615f92ddabff937b9c6","dem","Democrat",32,"Female","Caucasian/White","dem","for","dem_for",1,69,54,86,65,40,16,4,3,50,50,50,50,68.5,15.75,50,"Independent / non-partisan / politically neutral","Moderate Democrat","Strong Republican","Politician",1,0
"645906dc264ac9eb66b7f3ec","dem","Democrat",49,"Female","Caucasian/White","repub","against","repub_against",0,76,50,37,35,50,50,50,50,3,20,9,7,49.5,50,9.75,"Other (Libertarian, Green Party, etc.)","Independent / non-partisan / politically neutral","Strong Republican","Student",1,0
"639b3d670be4a9daf302f881","dem","Republican",53,"Female","African American/Black","repub","for","repub_for",0,79,37,91,34,75,16,32,23,89,88,90,16,60.25,36.5,70.75,"Moderate Republican","Moderate Democrat","Strong Republican","Journalist",1,0
"647652cb5644044df439e1fb","dem","Democrat",36,"Female","Caucasian/White","repub","against","repub_against",0,35,32,26,27,5,5,0,5,0,0,0,0,30,3.75,0,"Independent / non-partisan / politically neutral","Moderate Republican","Moderate Democrat","Journalist",1,0
"6332517a492e9ac48804f991","dem","Democrat",66,"Male","Caucasian/White","dem","against","dem_against",1,55,60,60,60,0,8,0,0,14,14,14,8,58.75,2,12.5,"Moderate Republican","Strong Democrat","Independent / non-partisan / politically neutral","Journalist",0,0
"632aa954e9b6a34171a5e7ed","dem","Democrat",34,"Male","Caucasian/White","repub","for","repub_for",0,70,27,60,74,70,20,80,74,84,72,62,87,57.75,61,76.25,"Moderate Republican","Strong Republican","Strong Republican","Policy Expert",0,0
"5d6ac7e17658a1001a8c63b2","dem","Democrat",56,"Female","Caucasian/White","dem","against","dem_against",1,100,100,86,90,0,0,0,0,17,22,11,5,94,0,13.75,"Strong Democrat","Strong Democrat","Strong Democrat","Student",1,0
"60f838095603e27ca51820a7","dem","Democrat",66,"Male","Caucasian/White","dem","against","dem_against",1,100,100,90,80,0,0,0,0,5,10,10,0,92.5,0,6.25,"Moderate Democrat","Independent / non-partisan / politically neutral","Moderate Democrat","AI language model",0,0
"629288376055ad7fb05bbf77","dem","Democrat",47,"Male","Caucasian/White","repub","against","repub_against",0,100,100,75,100,5,15,0,5,0,0,0,0,93.75,6.25,0,"Strong Republican","Independent / non-partisan / politically neutral","Moderate Republican","Politician",0,0
"60cbabd69ddfb4d7243a1e38","dem","Democrat",50,"Male","Caucasian/White","dem","for","dem_for",1,81,91,86,83,16,19,21,24,42,42,41,42,85.25,20,41.75,"Moderate Democrat","Moderate Republican","Moderate Republican","Activist",0,0
"629e1261dc860cbee1a8be12","dem","Democrat",39,"Female","Caucasian/White","repub","against","repub_against",0,40,40,40,20,0,0,0,0,0,0,0,0,35,0,0,"Independent / non-partisan / politically neutral","Moderate Democrat","Strong Democrat","Activist",1,0
"5a6d3a19e6cc4a0001b6c47a","dem","Democrat",54,"Male","Caucasian/White","repub","for","repub_for",0,72,70,72,60,18,9,8,6,40,33,29,38,68.5,10.25,35,"Moderate Democrat","Strong Republican","Moderate Republican","Journalist",0,0
"60887a654f55f863e95ca944","dem","Democrat",60,"Female","Caucasian/White","dem","against","dem_against",1,60,60,60,60,0,0,0,0,10,10,20,20,60,0,15,"Moderate Democrat","Strong Republican","Moderate Democrat","Student",1,0
"6077cb38de8f5c783d413450","dem","Democrat",50,"Male","Caucasian/White","dem","for","dem_for",1,95,95,95,70,13,14,56,10,0,50,8,0,88.75,23.25,14.5,"Strong Democrat","Moderate Democrat","Moderate Republican","AI language model",0,0
"632d68dde8d04677f58d963c","dem","Democrat",26,"Male","Caucasian/White","repub","for","repub_for",0,98,100,95,100,0,0,0,0,10,21,14,15,98.25,0,15,"Strong Democrat","Strong Republican","Strong Republican","Politician",0,0
"608c451be10e84b9fc005f3e","dem","Democrat",72,"Female","African American/Black","repub","for","repub_for",0,50,80,60,40,20,25,50,10,50,60,50,60,57.5,26.25,55,"Moderate Republican","Strong Republican","Moderate Democrat","Politician",1,0
